12 5 4
62 106 146 15
57 104 118 10
52 104 116 23
59 105 132 38
45 107 102 3
66 108 163 19
43 95 150 19
43 97 146 57
43 97 146 43
15 143 125 36
48 99 109 41
62 106 148 61
65 108 155 23
63 107 150 34
68 90 139 4
59 105 126 31
43 99 138 24
43 97 145 37
67 108 168 29
59 104 126 23
65 107 158 32
60 105 131 44
48 92 98 10
40 95 174 32
59 104 128 29
46 98 124 15
78 81 177 42
46 99 123 17
57 120 71 6
49 96 143 77
71 100 84 5
51 110 27 44
-35 149 91 54
62 102 91 56
52 99 76 31
81 62 78 62
74 156 26 40
63 113 38 48
55 126 116 98
54 45 116 21
24 72 90 71
87 121 51 21
113 75 90 43
3 61 145 56
42 87 121 10
67 151 54 89
19 88 118 53
51 100 76 23
38 114 44 12
67 96 97 59
48 45 42 93
100 127 140 94
25 46 80 83
55 97 74 10
48 114 87 75
64 158 58 64
39 137 87 50
50 61 71 42
51 101 154 39
74 131 137 80
60 102 75 94
74 130 47 56
95 91 33 33
29 108 82 38
60 82 92 27
50 84 114 16
-17 151 114 44
48 106 32 5
30 71 23 24
34 147 169 60
52 94 96 82
47 96 95 15
51 103 76 17
49 104 88 61
55 87 168 72
47 77 113 23
49 104 57 33
48 158 146 99
64 107 156 23839
58 104 121 1770
42 96 155 6210
44 98 138 7697
64 107 154 11016
40 113 119 1476
45 99 127 5392
45 108 105 1778
17 146 126 26327
80 87 170 35830
52 103 109 1670
45 86 109 1568
63 107 147 5405
42 111 113 1228
57 104 121 5897
50 100 83
200 15 190
190 294 -88 20
216 293 -145 40
179 300 34 60
145 328 -61 41
175 298 -73 46
173 299 -73 3
166 297 -98 14
161 315 -6 6
198 284 -109 42
159 312 -6 30
180 330 -72 31
198 290 -102 32
136 316 -30 12
145 289 -124 27
145 284 -141 77
203 294 -109 13
179 300 33 16
188 296 -94 9
173 306 -31 13
137 312 -33 13
184 299 -69 39
188 300 -66 12
199 296 -98 9
187 299 -71 10
168 297 -95 48
182 298 -61 23
181 323 -74 23
187 295 -81 27
192 297 -99 6
184 298 -63 6
161 297 -130 59
174 297 -70 3
185 298 -71 31
146 313 -37 8
181 330 -72 7
203 295 -127 25
160 291 -136 34
127 294 -154 34
180 300 21 52
212 292 -129 78
137 291 -152 17
174 301 -40 4
158 317 2 14
166 298 -94 44
194 291 -101 20
173 299 -78 70
159 313 1 20
190 292 -102 27
181 338 -80 14
209 283 -133 55
185 298 -77 7
153 291 -137 77
193 286 -104 23
196 298 -118 64
179 300 28 48
182 300 -57 10
180 300 -33 52
167 293 -86 35
171 304 -47 18
174 299 -72 6
183 300 -64 37
167 309 -19 16
157 293 -101 20
179 300 -58 37
183 299 -62 62
168 309 -19 20
162 290 -102 49
198 290 -99 44
168 294 -77 12
183 299 -57 24
173 298 -93 39
181 309 -57 3
133 292 -137 23
200 294 -101 34
205 285 -120 37
180 300 -17 3
163 311 -11 42
168 295 -107 8
180 300 30 12
159 316 3 42
184 298 -75 47
178 300 -55 11
145 287 -146 55
201 289 -106 31
197 292 -136 38
179 300 35 25
142 305 -38 14
199 287 -124 70
161 313 -7 3
176 300 -60 30
176 299 -65 25
156 287 -109 32
165 296 -120 31
150 293 -133 34
191 297 -106 37
180 300 35 31
185 298 -63 29
162 296 -97 38
183 299 -60 13
180 301 -46 3
156 296 -127 57
164 291 -136 40
162 291 -111 52
180 300 -4 12
180 300 -33 34
182 298 -59 3
180 300 29 54
180 300 35 49
180 323 -75 33
165 311 -16 25
174 300 -41 3
178 299 -57 31
167 309 -20 20
180 300 -6 30
176 300 -43 7
169 296 -99 14
176 301 -42 3
187 297 -83 27
205 294 -114 64
198 296 -116 6
165 296 -93 23
180 300 -25 8
176 303 -41 29
175 299 -66 37
167 297 -88 14
142 297 -133 39
181 300 -52 4
161 290 -90 26
196 294 -126 23
180 300 6 46
181 300 -61 3
201 289 -127 55
185 299 -67 65
161 297 -85 36
180 300 24 40
156 294 -100 19
183 327 -81 35
191 295 -90 37
154 308 -42 3
178 302 -46 30
180 330 -80 35
173 306 -32 21
205 288 -115 56
182 300 -62 23
180 300 -21 32
157 313 4 16
211 282 -139 36
180 318 -65 5
139 313 -33 18
166 292 -130 80
167 293 -119 48
158 290 -126 76
153 298 -138 12
179 300 43 43
170 303 -47 3
191 297 -72 8
180 300 8 9
160 295 -110 61
172 298 -68 18
160 292 -101 37
167 296 -104 54
120 289 -153 93
179 300 40 24
180 300 -39 53
161 294 -123 12
138 285 -135 60
192 297 -81 29
180 300 -18 13
127 291 -147 42
193 294 -128 52
141 306 -37 9
170 296 -86 25
204 282 -130 49
172 297 -68 34
189 295 -118 57
148 293 -146 53
179 300 35 45
173 297 -67 3
194 292 -119 30
146 306 -35 36
180 300 -66 41
157 270 -46 57
206 300 -127 36
168 247 -99 59
135 307 5 48
185 283 -129 79
206 300 18 96
183 313 1 65
103 272 -30 33
136 290 2 29
228 333 -2 26
169 297 -41 30
156 318 -116 46
185 284 -126 68
186 242 18 15
204 361 -96 62
182 295 -53 30
180 300 40 45
141 295 -89 89
198 293 32 62
197 291 -122 21380
205 292 -129 23337
182 300 -59 346
190 293 -93 6618
142 309 -35 8014
173 301 -39 576
141 290 -142 11411
148 332 -60 9929
161 312 -7 11371
180 300 23 29321
159 293 -117 13078
176 301 -44 347
165 295 -91 7019
181 329 -77 5770
180 301 -47 21
180 300 -51
100 15 99
22 1 11 3
-12 -18 26 22
-30 23 -68 53
4 -6 50 21
-33 35 -69 40
6 -31 66 35
20 31 -18 41
52 16 10 44
-25 20 -53 56
5 -8 30 10
5 -11 -10 3
19 -2 8 5
6 -9 -18 4
-10 -19 23 24
7 -11 44 30
2 -53 -59 16
80 38 12 83
4 -12 -17 7
-25 23 -39 32
-48 -33 59 28
46 16 7 9
4 -26 60 6
23 -69 -91 40
6 -30 66 52
9 -27 -14 26
7 -28 59 16
7 -11 40 29
36 9 7 19
43 11 8 32
-34 29 -51 78
21 34 -14 9
8 -6 -26 25
81 40 7 28
-40 29 -52 15
-10 -17 23 29
5 -8 34 15
8 -6 -24 6
4 -12 -30 14
39 9 6 38
24 3 10 19
3 -18 34 3
4 -7 48 34
19 -70 -73 34
14 -4 8 9
20 -74 -87 72
54 20 6 44
6 -14 20 30
12 -54 -66 59
-29 16 -46 66
18 -2 9 40
23 58 -28 25
5 -8 34 16
5 -18 30 6
23 1 8 33
75 34 11 12
12 -6 8 19
68 27 3 46
7 -10 36 11
8 -20 37 14
62 23 13 29
-41 -43 52 6
43 14 5 17
23 43 -25 54
59 23 12 28
4 -7 51 18
7 -10 31 14
19 -1 10 55
5 -12 15 22
13 -5 8 6
7 -11 46 25
36 9 6 15
4 -49 -65 24
-48 -36 56 62
0 -26 57 11
45 13 12 6
19 -2 9 30
5 -9 13 25
-35 34 -65 25
37 9 6 9
6 -10 13 6
6 -16 29 3
7 -25 53 44
7 -10 29 18
35 9 6 33
-70 -48 74 89
2 -54 -45 54
1 -22 48 37
-40 -36 49 62
-26 23 -50 24
-41 34 -74 24
6 -12 17 38
61 24 9 39
-8 -15 21 33
5 -15 2 71
38 9 10 11
9 1 1 3
7 -16 -1 5
5 -13 20 7
13 -5 8 41
26 41 -24 36
68 29 11 15405
69 29 7 15517
4 -7 41 2243
24 46 -25 3649
18 -2 8 564
5 -8 30 1748
6 -9 -25 2431
11 -62 -65 16441
6 -26 53 9738
7 -10 39 3207
-33 26 -55 19262
56 20 8 6751
-51 -48 65 4522
5 -8 29 842
4 -25 55 1955
5 -10 8
100 15 90
14 8 19 23
12 9 -16 5
4 1 -9 7
13 7 -2 7
-32 -15 -70 72
6 5 -3 32
-27 -11 -36 29
16 18 -25 20
2 2 -7 36
19 8 67 24
14 12 -13 7
19 8 64 25
18 6 64 28
-31 -9 -63 16
4 1 -3 3
-24 -4 -50 16
17 7 50 6
13 8 14 36
19 7 73 49
16 7 -11 6
18 9 -7 3
17 7 48 32
-27 -10 -49 31
5 5 -1 4
-11 -2 -25 23
-30 -14 -64 41
-40 -16 -55 18
1 -2 -16 12
15 7 38 21
18 19 -21 15
20 23 -27 8
13 8 4 3
11 7 3 5
13 8 3 7
-40 -33 -58 24
11 7 20 12
17 7 50 6
-25 -22 -53 45
-31 -9 -47 12
7 4 -1 6
17 6 58 19
12 8 6 5
14 5 -6 6
15 6 -10 8
1 3 -14 16
16 6 45 35
18 7 63 14
-9 -1 -30 6
15 3 -10 12
14 8 -2 4
6 3 -3 3
9 6 0 11
15 15 -23 14
14 8 26 28
7 7 -1 61
18 19 -22 9
7 6 -3 59
19 8 63 49
10 7 27 12
15 7 38 5
16 3 -9 3
18 6 60 9
18 5 70 45
12 8 15 3
19 7 69 31
-17 -15 -44 17
-21 -8 -36 41
-13 -1 -21 23
-33 -15 -67 30
14 8 17 35
15 5 -5 10
7 10 4 4
11 7 19 3
18 7 58 47
15 8 31 15
0 0 -16 7
-1 -1 -16 25
5 4 -6 11
6 5 -3 3
14 8 16 22
11 7 19 3
4 2 -5 5
-40 -21 -66 90
-3 -3 -19 16
-14 -8 -35 3
10 7 3 8
-9 -8 -26 8
16 3 -7 8
6 3 -7 58
8 5 0 3
-14 -5 -39 17
8 5 -3 33
6 6 -3 3
10 6 2 12
-21 -14 -41 57
17 17 -18 10
-36 -26 -58 22
11 6 25 14
19 7 67 60
17 6 -8 12
-29 -14 -51 5900
5 4 -3 658
18 7 58 11405
10 7 3 57
2 1 -10 998
17 18 -24 883
-2 13 2 1154
14 7 -12 874
2 -1 -14 2266
4 2 -3 553
14 4 -8 1004
17 8 -7 294
10 7 25 867
12 8 13 63
13 8 3 12
12 8 5
200 15 190
105 115 87 21
13 133 -6 47
43 129 77 18
45 151 43 6
60 30 116 33
67 67 70 22
49 103 72 36
139 122 79 48
148 124 84 36
31 215 47 92
43 131 77 14
41 121 28 58
88 110 80 38
73 106 84 16
60 66 104 24
87 109 83 9
60 74 99 16
40 39 113 66
7 134 -25 94
23 119 30 58
38 180 63 6
40 174 67 27
42 158 48 12
55 105 68 7
55 70 73 3
97 112 84 32
50 101 79 4
37 179 63 50
52 93 81 13
29 200 46 27
45 111 41 24
118 116 90 50
39 157 71 6
50 78 95 20
64 58 73 10
29 195 56 60
133 120 75 64
58 107 62 22
127 120 77 48
48 112 72 3
56 34 65 23
53 103 76 22
58 18 98 52
45 130 59 3
3 138 -9 87
49 110 81 3
74 31 97 62
57 29 104 12
19 121 13 66
39 110 62 33
27 116 29 28
52 86 79 21
36 132 -12 91
8 141 -8 53
40 148 70 18
51 61 104 8
41 117 -4 12
92 110 80 36
45 140 53 49
54 90 85 38
-9 142 -22 52
48 98 88 3
43 163 42 74
50 89 90 12
56 48 109 22
61 103 85 28
59 29 103 10
54 104 76 16
128 120 86 59
1 137 -23 93
51 100 75 7
99 113 81 3
76 107 85 3
90 110 86 3
45 111 50 20
39 142 72 7
49 114 79 3
64 28 126 28
37 150 64 14
49 115 79 29
58 102 84 36
47 24 101 67
126 119 78 49
44 112 49 41
46 36 120 26
65 104 82 10
49 104 56 37
39 118 -12 26
58 44 99 6
125 119 84 65
43 141 48 4
105 115 84 6
70 105 82 26
107 115 81 28
86 109 85 13
59 54 107 19
148 124 77 68
60 68 101 12
47 24 123 49
48 113 76 31
63 104 84 33
144 124 81 21
62 49 69 35
55 105 72 20
72 106 82 21
43 154 38 66
38 199 61 47
125 120 73 18
53 50 108 44
69 105 82 7
46 104 71 39
41 187 54 45
145 124 80 47
112 115 80 8
64 19 97 20
70 33 116 36
46 108 32 47
48 106 45 10
55 71 76 33
104 114 84 12
44 106 64 30
82 21 101 32
47 119 77 58
48 72 99 15
49 34 121 56
51 87 79 35
88 110 79 38
127 119 87 43
123 119 85 22
94 111 83 31
126 119 75 57
31 114 49 41
35 114 50 41
40 171 57 75
65 18 108 27
154 127 71 27
2 135 -11 56
58 70 101 17
141 123 77 24
52 102 80 20
78 107 84 18
41 146 44 56
43 117 12 62
47 44 107 12
48 120 76 15
58 62 104 9
21 121 21 6
68 39 98 18
49 82 93 6
64 72 73 11
142 124 74 42
46 152 41 15
30 206 51 31
49 87 90 24
63 56 106 22
46 132 73 18
37 208 46 75
54 85 80 19
16 128 16 27
46 120 76 35
57 69 89 20
62 60 106 15
61 56 107 10
54 86 91 22
63 62 93 6
64 30 96 40
58 77 77 10
40 187 64 50
108 114 80 44
50 68 100 10
40 206 40 36
61 103 83 22
37 21 122 49
55 78 95 20
50 34 63 53
45 112 41 38
74 106 84 16
31 113 44 25
34 112 45 3
46 82 93 47
60 74 98 23
57 107 62 3
54 47 97 22
149 125 74 76
18 130 -4 19
69 32 67 44
57 58 103 6
39 212 49 88
42 136 69 48
47 106 53 38
56 75 77 20
38 174 64 6
54 56 105 12
83 108 85 19
69 28 65 75
61 103 84 29
63 112 43 9
44 114 -24 91
37 206 57 71
51 85 79 22
50 35 117 27358
62 112 51 1200
64 39 66 12165
53 44 111 18628
33 193 55 49894
56 63 103 4893
45 96 93 505
127 120 82 32147
104 113 85 15428
50 101 68 629
39 119 1 15615
14 131 -3 7867
131 120 79 24083
63 36 98 11107
42 150 45 2102
50 100 83
200 15 190
248 306 -85 45
180 304 -47 4
174 294 -43 34
179 314 -37 3
208 286 -82 27
189 294 -43 4
233 305 -71 12
166 299 28 20
160 272 -17 6
168 298 14 15
242 306 -81 62
167 299 20 67
242 306 -70 52
201 290 -78 33
149 277 -15 12
144 277 11 66
233 262 -117 60
152 283 -4 45
233 305 -73 34
182 304 -60 3
187 295 -45 3
206 303 -64 20
254 307 -86 65
180 311 -41 3
247 282 -117 43
185 295 -46 17
178 299 -37 23
157 288 -13 33
213 303 -60 8
234 271 -123 19
142 275 17 15
179 300 -42 6
170 298 8 21
150 275 -15 10
236 259 -111 20
208 303 -63 41
206 292 -83 8
215 303 -66 19
193 287 -40 15
160 286 -27 29
171 292 -33 50
159 281 -24 25
168 299 19 30
236 305 -69 6
192 287 -41 13
180 310 -41 4
246 306 -78 33
179 317 -35 17
189 291 -43 3
135 272 25 23
177 296 -45 28
167 290 -26 6
196 279 -35 8
185 298 -47 9
154 274 -1 42
150 264 -7 27
226 304 -69 3
159 287 -17 26
173 300 -7 22
231 271 -100 29
194 291 -41 11
195 281 -36 6
137 281 18 37
196 289 -40 3
170 297 5 39
191 287 -39 10
173 296 -38 56
137 272 22 40
171 297 0 45
195 296 -68 36
218 304 -62 29
211 277 -87 38
194 285 -37 14
176 300 -27 33
210 303 -61 38
213 303 -61 10
265 308 -86 72
187 293 -45 3
197 282 -35 29
217 287 -90 43
194 281 -37 10
140 277 13 37
169 299 12 35
262 307 -80 44
213 289 -83 9
154 276 -17 14
192 294 -42 4
145 273 9 46
170 293 -33 32
249 287 -113 24
232 305 -72 36
162 280 -27 23
149 269 -7 30
153 264 -12 16
200 289 -36 6
186 292 -43 7
181 316 -35 12
138 274 15 12
181 312 -39 3
183 298 -47 4
258 307 -80 76
171 297 9 56
212 278 -95 25
226 304 -68 6
193 289 -41 12
201 285 -35 25
167 298 21 12
189 287 -40 12
168 298 20 65
194 290 -39 5
192 285 -40 6
162 272 -20 25
199 278 -32 6
181 303 -59 3
206 292 -73 18
181 317 -34 19
251 307 -85 54
178 300 -36 37
218 267 -108 66
174 294 -38 25
232 271 -106 9
222 273 -93 10
192 286 -39 3
235 265 -117 27
229 280 -110 5
182 298 -49 26
247 306 -83 48
147 274 -12 50
147 283 2 43
163 279 -26 12
196 283 -36 6
180 308 -43 10
221 304 -67 8
191 290 -41 4
184 298 -47 16
170 298 11 43
189 292 -43 6
169 298 14 45
265 307 -77 62
154 287 -8 6
177 299 -33 9
196 302 -55 12
197 276 -31 12
187 296 -46 5
229 280 -112 33
150 274 -14 52
146 278 8 64
224 304 -64 17
161 274 -18 35
256 307 -89 16
174 297 -40 22
177 297 -47 23
141 280 8 52
171 298 2 35
264 308 -90 37
232 305 -68 36
186 297 -47 8
200 283 -37 27
173 297 -39 47
174 299 -16 23
202 286 -32 21
223 304 -66 24
194 287 -39 11
188 291 -44 4
179 300 -40 37
147 271 -13 18
162 277 -23 4
153 274 -1 14
168 298 19 27
170 297 11 5
193 294 -63 43
145 267 -10 61
177 299 -30 15
189 290 -42 13
167 299 25 35
144 272 14 52
171 298 1 3
183 299 -48 21
230 263 -129 52
232 274 -117 80
192 286 -39 3
136 268 28 38
199 282 -34 11
167 298 21 62
205 281 -79 40
222 264 -115 82
181 302 -59 4
147 276 -12 40
136 269 23 38
177 298 -45 56
165 286 -19 23
168 297 23 24
203 286 -33 8
245 306 -74 31
184 297 -47 23
156 287 -12 14
236 305 -68 14
168 297 25 27
169 297 17 12
232 269 -128 32
145 276 9 24897
247 306 -78 13806
197 285 -37 3414
196 286 -36 3216
183 299 -48 21
183 300 -49 33
183 297 -48 50
201 281 -34 2531
181 300 -50 4
184 297 -48 56
181 303 -59 345
229 277 -108 4263
153 272 -15 2998
180 314 -38 213
169 298 10 10701
180 300 -51
100 15 99
6 -17 -3 15
15 5 85 51
5 -16 3 49
-66 47 68 50
17 0 12 9
0 -63 -65 88
-1 -4 14 25
-53 45 62 28
-4 -15 6 3
2 -7 1 8
15 6 83 71
-37 43 62 62
-15 -23 -3 17
-32 37 53 20
-19 -16 -1 6
13 -34 -16 10
16 6 90 52
10 -3 40 20
1 -45 -28 12
2 -56 -41 60
-16 -25 1 26
-37 -31 -3 31
-41 42 60 64
20 1 13 10
-20 -25 2 20
-56 50 75 35
-1 -3 15 35
29 -27 21 19
-2 -2 16 3
-24 14 38 41
45 18 14 43
-57 40 60 16
17 0 11 15
12 0 56 35
43 17 15 40
31 9 11 8
-28 27 43 24
1 -5 13 36
-40 30 53 73
17 -1 12 14
46 17 11 26
8 -8 9 7
-37 -28 -1 22
18 7 96 45
9 -7 9 3
-22 -17 1 27
36 12 12 24
-42 44 63 57
7 -69 -52 51
17 8 103 35
27 5 10 25
11 0 55 22
21 -63 -58 68
15 5 87 32
24 -37 19 32
6 -29 -13 3
-15 -19 0 7
-32 27 42 20
-62 44 74 64
-7 -17 3 14
10 -11 13 54
99 -28 35 76
-10 -87 25 44
30 28 -49 93
1 -18 19 18
-10 -5 10 73
4 -4 10 30
9 12 53 57
2 -19 35 45
-11 -35 49 29
16 47 1 58
23 -12 5 13
-1 29 85 6
37 14 -44 80
6 -9 14 69
90 -4 11 13
-58 5 16 85
-1 4 -19 61
36 -28 39 37
103 7 -14 79
-4 19 41 64
3 -6 -17 69
13 -8 1 5
4 -33 76 56
8 3 4 72
-63 -6 53 81
7 -16 47 34
6 -9 62 81
32 -87 60 55
15 -26 70 46
-2 8 34 24
5 -8 90 72
-27 71 -11 5
11 -2 18 69
1 -6 -85 73
12 -2 14 64
1 -3 78 19
4 -15 -85 34
69 -7 -1 41
10 28 -13 76
11 -58 -47 18927
-27 -31 -1 4714
37 12 12 3501
23 4 15 570
-21 -21 -1 3414
10 -6 10 45
-46 42 60 39872
-3 -5 -9 377
-15 -19 1 1399
-7 -16 5 892
35 -39 25 2636
19 1 12 1175
16 -19 0 694
-21 18 36 6219
15 5 84 12713
5 -10 8
100 15 90
-18 14 -6 15
-12 10 -4 9
12 27 99 42
4 24 39 12
-11 21 -30 39
-24 20 -68 44
-22 26 -64 24
28 -10 28 12
6 19 28 14
19 1 14 60
12 11 17 3
13 24 92 56
58 -58 83 89
13 24 84 13
12 16 43 30
-31 28 -65 6
60 -24 56 26
-14 13 92 79
2 9 1 3
10 13 14 29
-52 12 -28 6
10 5 1 54
-19 -23 -39 40
12 22 82 71
12 26 99 72
12 17 55 27
-5 -9 -20 21
-52 17 -20 35
12 10 14 9
55 -45 67 92
36 -9 -19 26
12 22 73 14
-14 15 90 32
8 17 23 4
-3 21 20 3
-3 22 19 17
20 -2 -7 4
12 11 18 55
40 -38 54 48
11 16 46 24
47 9 60 31
-56 -58 -4 25
16 8 14 93
15 -5 -35 38
21 -41 8 12
-21 -60 62 17
-41 -6 -60 89
14 13 4 94
70 -6 -16 27
23 57 -53 24
21 -54 9 25
-26 7 -83 96
7 20 17 47
12 11 -19 65
37 -9 34 84
-27 38 -1 11
74 9 -55 91
4 40 -20 28
35 45 -27 78
17 35 49 50
34 17 96 90
36 -4 21 76
-14 70 35 22
-45 -3 -13 42
4 3 12 26
-18 20 -68 32
12 9 4 21
35 -57 14 5
26 35 39 16
73 2 -39 46
33 -18 57 20
-2 8 58 13
-49 -53 -35 28
5 11 8 46
0 23 -3 5
7 8 -94 72
15 -7 16 96
-15 18 -82 92
7 3 22 5
13 -13 -6 86
62 -58 14 21
33 6 -28 83
2 -16 69 79
49 -53 15 66
12 -7 69 16
13 10 -10 97
50 -73 -16 5
22 -11 74 5
7 10 -24 8
39 -1 14 76
